Gene_acc,Gene_id,bsf,pcf,rank_bsf,rank_pcf,Desc,prot_group
0,Tb427_000023800,5.08,5.02,1806,2572,"BT1 family, putative",PG0
1,Tb427_000012500,5.08,5.02,1806,2572,"BT1 family, putative",PG0
2,Tb427_000008200,5.08,5.02,1806,2572,"BT1 family, putative",PG0
3,Tb427_000007100,5.08,5.02,1806,2572,"BT1 family, putative",PG0
4,Tb427_000010800,5.08,5.02,1806,2572,"BT1 family, putative",PG0
5,Tb427_000018600,5.08,5.02,1806,2572,"BT1 family, putative",PG0
6,Tb427_000007800,4.81,3.51,1452,99,"Trypanosomal VSG domain containing protein, putative",PG1
7,Tb427_000009200,6.91,3.58,5710,537,"hypothetical protein, conserved",PG2
8,Tb427_000316500,6.91,3.58,5710,537,"hypothetical protein, conserved",PG2
9,Tb427_000228400,6.91,3.58,5710,537,hypothetical protein,PG2
10,Tb427_000317300,6.91,3.58,5710,537,"hypothetical protein, conserved",PG2
11,Tb427_000316900,6.91,3.58,5710,537,"hypothetical protein, conserved",PG2
12,Tb427_000597000,6.91,3.58,5710,537,hypothetical protein,PG2
13,Tb427_000025300,6.57,3.57,5180,384,"Trypanosomal VSG domain containing protein, putative",PG3
14,Tb427_000015700,6.57,3.57,5180,384,"Trypanosomal VSG domain containing protein, putative",PG3
15,Tb427_000009300,6.57,3.57,5180,384,"Trypanosomal VSG domain containing protein, putative",PG3
16,Tb427_000023400,6.57,3.57,5180,384,"Trypanosomal VSG domain containing protein, putative",PG3
17,Tb427_030025000,6.57,3.57,5180,384,"Trypanosomal VSG domain containing protein, putative",PG3
18,Tb427_010015600,6.57,3.57,5180,384,"Trypanosomal VSG domain containing protein, putative",PG3
19,Tb427_000009700,4.84,3.57,1486,456,"Trypanosome variant surface glycoprotein (A-type), putative",PG4
20,Tb427_000009900,7.09,3.58,5925,545,"hypothetical protein, conserved",PG5
21,Tb427_000010400,5.19,3.52,2001,113,"Trypanosomal VSG domain containing protein, putative",PG6
22,Tb427_000012900,6.61,7.59,5244,6473,"Phosphotransferase enzyme family, putative",PG7
23,Tb427_000016400,7.94,3.62,6527,947,"Trypanosome variant surface glycoprotein (A-type), putative",PG8
24,Tb427_000014400,7.94,3.62,6527,947,"Trypanosome variant surface glycoprotein (A-type), putative",PG8
25,Tb427_000020600,7.94,3.62,6527,947,"Trypanosome variant surface glycoprotein (A-type), putative",PG8
26,Tb427_000022500,7.94,3.62,6527,947,"Trypanosome variant surface glycoprotein (A-type), putative",PG8
27,Tb427_000833400,7.94,3.62,6527,947,hypothetical protein,PG8
28,Tb427_000014700,5.66,3.49,2981,34,"Adenylate and Guanylate cyclase catalytic domain containing protein, putative",PG9
29,Tb427_000024800,6.64,3.6,5289,674,"hypothetical protein, conserved",PG10
30,Tb427_000022900,6.64,3.6,5289,674,"hypothetical protein, conserved",PG10
31,Tb427_000021000,6.64,3.6,5289,674,"hypothetical protein, conserved",PG10
